user,tweet,date,likes,geo,coordinates,place,user_loc,query,in_nigeria,state,party_candidate,tweet_proc
IU_Wakilii,"rt @theresatekenah: edo state vote asiwaju tinubu 
vote apc!

#tinubuinedo
#bat2023 
#renewedhope https://t.co/3tnz1cas4g",2023-01-05 14:42:50+00:00,0,,,,"Kaduna, Nigeria",#BAT2023,True,kaduna,tinubu_apc,"rt @user edo state vote asiwaju tinubu 
vote apc!

#tinubuinedo
#bat2023 
#renewedhope http"
TheresaTekenah,"edo state vote asiwaju tinubu 
vote apc!

#tinubuinedo
#bat2023 
#renewedhope https://t.co/3tnz1cas4g",2023-01-05 14:42:21+00:00,129,,,,Abuja,#BAT2023,False,abuja,tinubu_apc,"edo state vote asiwaju tinubu 
vote apc!

#tinubuinedo
#bat2023 
#renewedhope http"
Abzad_13,"rt @theresatekenah: the jagaban dance 😁😍

#tinubuinedo 
#bat2023 https://t.co/wadf88xpno",2023-01-05 14:41:41+00:00,0,,,,"Abuja,Nigeria",#BAT2023,True,abuja,tinubu_apc,"rt @user the jagaban dance 😁😍

#tinubuinedo 
#bat2023 http"
Topsyken,"rt @theresatekenah: the jagaban dance 😁😍

#tinubuinedo 
#bat2023 https://t.co/wadf88xpno",2023-01-05 14:41:00+00:00,0,,,,Nations of the Earth.,#BAT2023,False,unknown,tinubu_apc,"rt @user the jagaban dance 😁😍

#tinubuinedo 
#bat2023 http"
WorldBestOoni,"rt @theresatekenah: the jagaban dance 😁😍

#tinubuinedo 
#bat2023 https://t.co/wadf88xpno",2023-01-05 14:40:39+00:00,0,,,,"Lagos, Nigeria",#BAT2023,True,lagos,tinubu_apc,"rt @user the jagaban dance 😁😍

#tinubuinedo 
#bat2023 http"
Haysh_Dee,"rt @theresatekenah: the jagaban dance 😁😍

#tinubuinedo 
#bat2023 https://t.co/wadf88xpno",2023-01-05 14:39:50+00:00,0,,,,Port Harcourt,#BAT2023,False,rivers,tinubu_apc,"rt @user the jagaban dance 😁😍

#tinubuinedo 
#bat2023 http"
OseniAADaniel1,"rt @theresatekenah: the jagaban dance 😁😍

#tinubuinedo 
#bat2023 https://t.co/wadf88xpno",2023-01-05 14:39:41+00:00,0,,,,"Ijebu-Ode, Nigeria",#BAT2023,True,unknown,tinubu_apc,"rt @user the jagaban dance 😁😍

#tinubuinedo 
#bat2023 http"
ismaila79834915,"rt @theresatekenah: the jagaban dance 😁😍

#tinubuinedo 
#bat2023 https://t.co/wadf88xpno",2023-01-05 14:39:36+00:00,0,,,,,#BAT2023,False,unknown,tinubu_apc,"rt @user the jagaban dance 😁😍

#tinubuinedo 
#bat2023 http"
de_eritage,"rt @asiwaju_wa: the incoming president of nigeria, asiwaju bola ahmed tinubu arrives at the rally ground in benin, edo state.

#renewedhope…",2023-01-05 14:36:03+00:00,0,,,,"New York, NY",#BAT2023,False,unknown,tinubu_apc,"rt @user the incoming president of nigeria, asiwaju bola ahmed tinubu arrives at the rally ground in benin, edo state.

#renewedhope…"
WildCardOffcial,"rt @theresatekenah: the jagaban dance 😁😍

#tinubuinedo 
#bat2023 https://t.co/wadf88xpno",2023-01-05 14:35:37+00:00,0,,,,Global ,#BAT2023,False,unknown,tinubu_apc,"rt @user the jagaban dance 😁😍

#tinubuinedo 
#bat2023 http"
mayideji,"rt @theresatekenah: the jagaban dance 😁😍

#tinubuinedo 
#bat2023 https://t.co/wadf88xpno",2023-01-05 14:34:26+00:00,0,,,,"Lagos, Nigeria",#BAT2023,True,lagos,tinubu_apc,"rt @user the jagaban dance 😁😍

#tinubuinedo 
#bat2023 http"
lukmonsolarin,"rt @theresatekenah: the jagaban dance 😁😍

#tinubuinedo 
#bat2023 https://t.co/wadf88xpno",2023-01-05 14:34:03+00:00,0,,,,,#BAT2023,False,unknown,tinubu_apc,"rt @user the jagaban dance 😁😍

#tinubuinedo 
#bat2023 http"
jimadaibrahim,"rt @theresatekenah: the jagaban dance 😁😍

#tinubuinedo 
#bat2023 https://t.co/wadf88xpno",2023-01-05 14:34:02+00:00,0,,,,,#BAT2023,False,unknown,tinubu_apc,"rt @user the jagaban dance 😁😍

#tinubuinedo 
#bat2023 http"
Equityoyo,"rt @theresatekenah: the jagaban dance 😁😍

#tinubuinedo 
#bat2023 https://t.co/wadf88xpno",2023-01-05 14:33:42+00:00,0,,,,"Lagos, Nigeria",#BAT2023,True,lagos,tinubu_apc,"rt @user the jagaban dance 😁😍

#tinubuinedo 
#bat2023 http"
olumideolayiwol,"rt @theresatekenah: the jagaban dance 😁😍

#tinubuinedo 
#bat2023 https://t.co/wadf88xpno",2023-01-05 14:32:58+00:00,0,,,,"Lagos, Nigeria",#BAT2023,True,lagos,tinubu_apc,"rt @user the jagaban dance 😁😍

#tinubuinedo 
#bat2023 http"
AjewolesamsonO3,"rt @theresatekenah: the jagaban dance 😁😍

#tinubuinedo 
#bat2023 https://t.co/wadf88xpno",2023-01-05 14:32:20+00:00,0,,,,"Lagos, Nigeria",#BAT2023,True,lagos,tinubu_apc,"rt @user the jagaban dance 😁😍

#tinubuinedo 
#bat2023 http"
OnikoyiBankole,"rt @theresatekenah: the jagaban dance 😁😍

#tinubuinedo 
#bat2023 https://t.co/wadf88xpno",2023-01-05 14:31:49+00:00,0,,,,Planet Earth,#BAT2023,False,unknown,tinubu_apc,"rt @user the jagaban dance 😁😍

#tinubuinedo 
#bat2023 http"
bad_breheme,@ayisat_opeyemi @qdpaper2 @stigmatronic @bashirahmaad dishing out facts ! love it ! obasanjo does not want a south western president unfortunately he lost already ! #bat2023,2023-01-05 14:30:25+00:00,0,,,,"Lagos, Nigeria",#BAT2023,True,lagos,,@user @user @user @user dishing out facts ! love it ! obasanjo does not want a south western president unfortunately he lost already ! #bat2023
OlaiwolaSadiq,"rt @theresatekenah: the jagaban dance 😁😍

#tinubuinedo 
#bat2023 https://t.co/wadf88xpno",2023-01-05 14:29:08+00:00,0,,,,,#BAT2023,False,unknown,tinubu_apc,"rt @user the jagaban dance 😁😍

#tinubuinedo 
#bat2023 http"
SalimAyofe,"rt @theresatekenah: the jagaban dance 😁😍

#tinubuinedo 
#bat2023 https://t.co/wadf88xpno",2023-01-05 14:28:59+00:00,0,,,,,#BAT2023,False,unknown,tinubu_apc,"rt @user the jagaban dance 😁😍

#tinubuinedo 
#bat2023 http"
02khalifah,"rt @theresatekenah: the jagaban dance 😁😍

#tinubuinedo 
#bat2023 https://t.co/wadf88xpno",2023-01-05 14:26:28+00:00,0,,,,Nigeria 🇳🇬,#BAT2023,True,unknown,tinubu_apc,"rt @user the jagaban dance 😁😍

#tinubuinedo 
#bat2023 http"
Tosquo,"rt @theresatekenah: the jagaban dance 😁😍

#tinubuinedo 
#bat2023 https://t.co/wadf88xpno",2023-01-05 14:25:12+00:00,0,,,,,#BAT2023,False,unknown,tinubu_apc,"rt @user the jagaban dance 😁😍

#tinubuinedo 
#bat2023 http"
PankoWord,"rt @theresatekenah: the jagaban dance 😁😍

#tinubuinedo 
#bat2023 https://t.co/wadf88xpno",2023-01-05 14:25:12+00:00,0,,,,"LAGOS,NIGERIA",#BAT2023,True,lagos,tinubu_apc,"rt @user the jagaban dance 😁😍

#tinubuinedo 
#bat2023 http"
Makuachukwu4Ada,"rt @theresatekenah: the jagaban dance 😁😍

#tinubuinedo 
#bat2023 https://t.co/wadf88xpno",2023-01-05 14:23:30+00:00,0,,,,,#BAT2023,False,unknown,tinubu_apc,"rt @user the jagaban dance 😁😍

#tinubuinedo 
#bat2023 http"
Mvnaaa___,"rt @theresatekenah: the jagaban dance 😁😍

#tinubuinedo 
#bat2023 https://t.co/wadf88xpno",2023-01-05 14:20:39+00:00,0,,,,Nigeria,#BAT2023,True,unknown,tinubu_apc,"rt @user the jagaban dance 😁😍

#tinubuinedo 
#bat2023 http"
KingNumero_Uno,"rt @asiwaju_wa: the incoming president of nigeria, asiwaju bola ahmed tinubu arrives at the rally ground in benin, edo state.

#renewedhope…",2023-01-05 14:19:55+00:00,0,,,,"Brooklyn, NY",#BAT2023,False,unknown,tinubu_apc,"rt @user the incoming president of nigeria, asiwaju bola ahmed tinubu arrives at the rally ground in benin, edo state.

#renewedhope…"
_Abenyy,"rt @theresatekenah: the jagaban dance 😁😍

#tinubuinedo 
#bat2023 https://t.co/wadf88xpno",2023-01-05 14:18:51+00:00,0,,,,"Abuja, Lagos Nigeria",#BAT2023,True,abuja,tinubu_apc,"rt @user the jagaban dance 😁😍

#tinubuinedo 
#bat2023 http"
olapeckham,"rt @theresatekenah: the jagaban dance 😁😍

#tinubuinedo 
#bat2023 https://t.co/wadf88xpno",2023-01-05 14:17:54+00:00,0,,,,"Lagos, Nigeria",#BAT2023,True,lagos,tinubu_apc,"rt @user the jagaban dance 😁😍

#tinubuinedo 
#bat2023 http"
