user,tweet,date,likes,geo,coordinates,place,user_loc,query,in_nigeria,state,party_candidate,tweet_proc
Huncle_Sam,"@laurentdarl we shall continue to win because pdp is a party for  the people by the people.
#recovernigeria #deltapdprally",2023-01-06 07:44:50+00:00,0,,,,Nigeria,#RecoverNigeria,True,unknown,atiku_pdp,"@user we shall continue to win because pdp is a party for  the people by the people.
#recovernigeria #deltapdprally"
Viqforlan,rt @yemieoke: a very  good day to the ọ̀yọ́ m'èsì and to thank them for standing with atiku to #recovernigeria https://t.co/qmwyseq780,2023-01-06 07:44:42+00:00,0,,,,Nigeria,#RecoverNigeria,True,unknown,atiku_pdp,rt @user a very  good day to the ọ̀yọ́ m'èsì and to thank them for standing with atiku to #recovernigeria http
just_1DZ,"rt @laurentdarl: pdp is the only political party that can win elections in delta state. 
every other political parties are ""also ran"".

#de…",2023-01-06 07:43:03+00:00,0,,,,Nigeria,#RecoverNigeria,True,unknown,atiku_pdp,"rt @user pdp is the only political party that can win elections in delta state. 
every other political parties are ""also ran"".

#de…"
yapapadeycraze,"he's the man to take nigerians to the promised land

he's the man to become the next president of nigeria

his name is no other than alhaji atiku abubakar

#recovernigeria https://t.co/iawaytnwck",2023-01-06 07:43:00+00:00,0,,,,,#RecoverNigeria,False,unknown,atiku_pdp,"he's the man to take nigerians to the promised land

he's the man to become the next president of nigeria

his name is no other than alhaji atiku abubakar

#recovernigeria http"
Polycarpvaava,"from 1999- 2007, nigeria had a vp who is competent,  capable and experienced. 

this man is ready to take nigeria forward in 2023.
#voteatiku #votepdp #atikuorganizingforaction #atikuokowa2023 #recovernigeria https://t.co/ztfy8gcxov",2023-01-06 07:42:32+00:00,0,,,,"Makurdi, Nigeria",#RecoverNigeria,True,unknown,atiku_pdp,"from 1999- 2007, nigeria had a vp who is competent,  capable and experienced. 

this man is ready to take nigeria forward in 2023.
#voteatiku #votepdp #atikuorganizingforaction #atikuokowa2023 #recovernigeria http"
InijeRukevwe,"rt @laurentdarl: pdp is the only political party that can win elections in delta state. 
every other political parties are ""also ran"".

#de…",2023-01-06 07:42:30+00:00,0,,,,,#RecoverNigeria,False,unknown,atiku_pdp,"rt @user pdp is the only political party that can win elections in delta state. 
every other political parties are ""also ran"".

#de…"
yapapadeycraze,"rt @laurentdarl: pdp is the only political party that can win elections in delta state. 
every other political parties are ""also ran"".

#de…",2023-01-06 07:41:31+00:00,0,,,,,#RecoverNigeria,False,unknown,atiku_pdp,"rt @user pdp is the only political party that can win elections in delta state. 
every other political parties are ""also ran"".

#de…"
laurentdarl,"rt @i_am_ilemona: in 49 days, we will press our hands our hands for the most competent, most experienced candidate on the ballot - @atiku -…",2023-01-06 07:41:22+00:00,0,,,,"Asaba, lagos, Nigeria.",#RecoverNigeria,True,unknown,atiku_pdp,"rt @user in 49 days, we will press our hands our hands for the most competent, most experienced candidate on the ballot - @user -…"
FASTnFIERCE,"rt @i_am_ilemona: in 49 days, we will press our hands our hands for the most competent, most experienced candidate on the ballot - @atiku -…",2023-01-06 07:40:40+00:00,0,,,,Where Knowledge Exists ,#RecoverNigeria,False,unknown,atiku_pdp,"rt @user in 49 days, we will press our hands our hands for the most competent, most experienced candidate on the ballot - @user -…"
fordoche56,"from 1999- 2007, nigeria had a vp who is competent,  capable and experienced. 

this man is ready to take nigeria forward in 2023.
#voteatiku #votepdp #atikuorganizingforaction #atikuokowa2023 #recovernigeria https://t.co/6x07j2qsnf",2023-01-06 07:40:32+00:00,3,,,,,#RecoverNigeria,False,unknown,atiku_pdp,"from 1999- 2007, nigeria had a vp who is competent,  capable and experienced. 

this man is ready to take nigeria forward in 2023.
#voteatiku #votepdp #atikuorganizingforaction #atikuokowa2023 #recovernigeria http"
